model_key,review_id,topic_proxy
bertimbau,f4d74b17cd63ee35efa82cd2567de911,product
bertimbau,3a336941a21a96535c9b70e3d28be499,delivery
bertimbau,f677a419ee4910ae12bf8cb73dc0d332,other
bertimbau,2e21bb397364fa799a4a1609fd2e6e3b,delivery
bertimbau,670e12015ba4dca0bc1d220aaf5c19f9,delivery
bertimbau,7cae6dc895e8f5238f2300e103742ce2,product
bertimbau,5e5ae81fbed794a34c7b44744b168a5f,other
bertimbau,af41ee42a3e2dc767023449fda6c12fa,delivery
bertimbau,d28138dcbee5d50ca9dddb812d21ce85,refund
bertimbau,cc4e1115d5c84efa5976f12404569949,delivery
bertimbau,07b48dbc11677f5021dbefcaba550ed2,delivery
bertimbau,4f2d420b33665f546c373953c8dfb5fd,product
bertimbau,bfd1c687738141ef5861a1a1269ca855,product
bertimbau,6724babb3b9952660bc345b5f5a4db07,delivery
bertimbau,c5efc0219f2949a8f81d5e8b39b9ca0c,product
bertimbau,830cc72c5691e78c2cde500865e21e65,delivery
bertimbau,8a310b56e4d05a7786d23986a1a49ae9,other
bertimbau,d44b85fda6987ad606e1b7c62dd481e4,product
bertimbau,5c1ba09de5c746017d406bd2cfefeca3,product
bertimbau,700135724fcdc3170960fd95b8fb5904,other
bertimbau,b54c1776f5955ced2f54c711c665a025,other
bertimbau,264527c876f418e7b43e09f0079942e2,delivery
bertimbau,d6c0b888949f0c3f236d67f588913930,other
bertimbau,f4d2c6ed9bebda9d41573e30f3d629b5,refund
bertimbau,91283389ca8846dd242990c799a85f5e,product
bertimbau,5159ec80ded330546c2f4a3d23c911d2,other
bertimbau,308400be88a43702db20fbb71b6cff74,product
bertimbau,557d0e6fe3a03460bb041cd5b3f7427d,product
bertimbau,513f392b12d02aef2c303846b4710eb6,delivery
bertimbau,341ccd0a62b82793121e9ebdd1eafaf9,product
bertimbau,396ca63a1ddba5ae532c35316166b90f,delivery
bertimbau,6d1e743b69d68d1864f8cb45e74be0d2,other
bertimbau,0272d07f5d34a8c3d31272e7ff967e7b,other
bertimbau,320ae91d4c5cb8164c168fc68392a5fb,refund
bertimbau,80d8874af03512892908e3910ca8ed00,product
bertimbau,6d7d0a5e33c92adf782b137720eeefa6,product
bertimbau,5f8ed42b9eee8adbd7344caca4ca507e,other
bertimbau,e5a35475f7efa7f6abac5febba3fb464,other
bertimbau,b92b5b1122f1298b87bc7882115db417,delivery
bertimbau,f922b9d00a755863556181c1a366193d,other
bertimbau,49f6f0bbf53f6d961deefc4d2fb0a6cd,delivery
bertimbau,7c43af1205ff01c2b95065b2b02b3343,delivery
bertimbau,6b15d200f47b4e13b03d237fd0b1894e,product
bertimbau,c25f2dc8ab33facf7a72f76c8a47d75a,support
bertimbau,f8499130452fd0f108a9a24454f51c32,other
bertimbau,72093b147d797e6abbdf569bf07bf57f,other
bertimbau,4292f07bf6cb46aa563a430e6d9cf10b,delivery
bertimbau,1545c0d2c381662ba869e91e4c1aaca1,delivery
bertimbau,032cfb72d792d30b6181b482d85f8d1a,product
bertimbau,67c79a3a4b7d8e4fc8590fb8ca4d3f8a,delivery
bertimbau,5fdcb2a2c4de7fbbf5715788535f4a96,delivery
bertimbau,8eaebf463e205cdcc126801ca343a33f,product
bertimbau,90febfe6ab599694729eaba46be1d3ad,delivery
bertimbau,5fd2d6fbe0e63511703a80078e938be5,other
bertimbau,ed2842d0aa7ac6285c7547d17f17da4d,product
bertimbau,9a8d24623d56c13f950247baa73f4c80,product
bertimbau,4b4f1f1ad3fcac5ed98109ed67b1d072,other
bertimbau,6d5cbd66b8b52a035e44276fdda28797,delivery
bertimbau,f74dd1cc5d081bff126d062eec26f695,product
bertimbau,9d14b1424ca737608bc50f9d3c1a78bb,product
bertimbau,9ba260ed7e6a228e5e9910e035a70c7f,other
bertimbau,a3d308c5563d93a99c7896bf7ff94e80,delivery
bertimbau,3f71ee62eb5acdc9b5121f6d99901583,other
bertimbau,668aad714767396c2b7d949a27913bb7,product
bertimbau,ddda0fa55fc550a8f14f6ae00652fcf9,delivery
bertimbau,699b866b71b5ad31f1faa2b1ab4fe1a6,product
bertimbau,73a58bd10f2667a04ee95df0071d5988,other
bertimbau,30a4f0f115950517b46d48046b609bd1,other
bertimbau,16e2b94c7b6c1107c0abec3a77ae3afa,delivery
bertimbau,41b377e06cb52feb5630c3ce360cd8cd,other
bertimbau,cea53cba54c5c3a5d28db7b0bb013ace,product
bertimbau,19910e37f2130c56f553edfbdc0c65fb,delivery
bertimbau,4564316d686dc211b70511906d579588,delivery
bertimbau,1ff86f2ca823caab2e02507d2633081d,delivery
bertimbau,179ac76606aa67e8f50238e3bb1d8933,delivery
bertimbau,d49137ea593f67aa74446503e88aa91d,product
bertimbau,4fa8392da03c452f77faa3f2952fa346,other
bertimbau,d3b4d016ccfc708c50866b550f903b9d,product
bertimbau,1708bf606fae9970482894dabb9e2fa8,delivery
bertimbau,cbd63dc4f83043f2714e48fe8a83957d,product
bertimbau,c1f198cdce8b992a9cddc3aaba11e689,delivery
bertimbau,19074f5809403265fc47263ea93325ee,delivery
bertimbau,c54629f4fc4dcf65a10efb35322ec769,product
bertimbau,1c6d1543dc13cb2465c63ac5de6cb4d0,other
bertimbau,1f836d160f50247a394034abd93b7c24,other
bertimbau,a835f8e62dd58cf9c07678bdd7cfb935,delivery
bertimbau,d92b28e1533de65ba31b2d6756a72faf,other
bertimbau,b66f1f980a4832698b613bcce72bb779,product
bertimbau,782be3066f784bbc0a5f4f5256172488,other
bertimbau,1489ef235189b9e5e1a9d4308bf228bd,other
bertimbau,b0ac2d014efe743e181a5e8dc9cfb8ad,delivery
bertimbau,edd86e0af4dc62b340c60d846643cbf9,delivery
bertimbau,5b6a0d5350fe3036f41d543d06eb7a5b,product
bertimbau,18abfe82de3995ac67d737ecc8189a31,delivery
bertimbau,c374da82d5c67281544168e3cfb22be3,delivery
bertimbau,bbb937e9c2b62a2205af03e8a7fed42b,other
bertimbau,77ac6288ca3e09284cb264d6b0b4d7a2,delivery
bertimbau,284e9d66ebdec028eab3b817447014ac,other
bertimbau,b297a6deb0afe6ada1c2b0fe0365de83,product
bertimbau,b495f6f95880a213da87b39539fefad9,other
bertimbau,88b1ded591cdd8c4f48c5285c7599392,delivery
bertimbau,608e890852fc78c3854d83a0cfab8557,other
bertimbau,cb0de6745dc7d44ff821eabbc2613df9,other
bertimbau,0871369412bd49aef1b9f916700a9495,delivery
bertimbau,e47020cf52099bce9dc57524ea41218b,other
bertimbau,71f7323f884804c6d38bbcd658e07318,product
bertimbau,180e67ff4510555ef7d76de7fe42c11c,other
bertimbau,500dab66d2c2cc1b14d64d0e1aa346db,delivery
bertimbau,9e96e374304db42a8aecd4a97d53cc1b,delivery
bertimbau,32cba2bc8e4b8a57f2063c108e2d6693,other
bertimbau,86b8f28757b213a5f9888c8f31f15dc5,other
bertimbau,5bed105c6756af72c550e78d4e9bcba7,product
bertimbau,21d7fa60f781a98de43940c2573d07ee,delivery
bertimbau,3e0449b3abd6563eef3fab99a2e5a9ec,product
bertimbau,19205689f830b4a8f7372c7655e7c4a7,product
bertimbau,073075873e2d7603248cfc951ad7c2c8,delivery
bertimbau,505f890341880ff7158b09cabfd90ece,other
bertimbau,f8629b549f7dbe5911ac684cd67b75ad,other
bertimbau,2f17f8ffe35062ac9d76c4dde9c181eb,delivery
bertimbau,cb0afd21795569cda373d39c5a0ca502,product
bertimbau,d34ad0ccdfa8649968e8eb3cac55e8b4,product
bertimbau,12f226601192062b644b158e0af9e723,delivery
bertimbau,2d0d80576ee9bbab49cc108d9ec7a0fb,product
bertimbau,c70f661829da37bccaeda6bcb6aed01e,delivery
bertimbau,45d1572f5bfca2707ae6748265f8169a,support
bertimbau,cca1567911b8150cfda5ce46e6a8ad7a,product
bertimbau,8f16e30ff188fe57a427fee7afb60c90,other
bertimbau,a099d25e117c98a5d7ae5b70119b7f32,delivery
bertimbau,90d7c8c2bc4d1328995149f3fd6ea941,delivery
bertimbau,294845299f875a2abb84852d4c5be77b,other
bertimbau,83f2d758c5e31f14e3d8ce9bff55780e,other
bertimbau,f43eeb6bb515e7c94635efb799ac5901,product
bertimbau,4ba573578ef9ba73205025d483690779,delivery
bertimbau,94d950a41403f4a115ab713488ddb3cd,delivery
bertimbau,56f8b1f478a87c6604588ad148e61ca8,delivery
bertimbau,7b66de927426b71a817aa36df5e8a0b3,product
bertimbau,a425fade0a366210ed595648f21cb93d,product
bertimbau,7f2c8f10a5eec4375a11cbcb3573310d,delivery
bertimbau,c68c027ea1d9979f147099c68efd93e6,other
bertimbau,d2b2e7612330948a735af300611bb922,product
bertimbau,bde05133984518116b3d77d994e375d3,product
bertimbau,253662a4cd78b84ca6547d0359fe90f6,other
bertimbau,24203dee295cf23bd24b7ace9bca261f,delivery
bertimbau,38bcaf95057f842c3b64408733eaab1b,product
bertimbau,4f3d4af8f472d4ccd334d4222c4e9ef4,delivery
bertimbau,8bc4d875dbab927e9190060688edc80f,product
bertimbau,cf8b4347ae76e6b7992a8c63f3d51774,delivery
bertimbau,2165b2b26e67eee7a9d28e13c0ad0468,product
bertimbau,fed701d8d331019dcc29237db66c8523,other
bertimbau,1edf2a3596b417ee8485f64c7c2109ac,refund
bertimbau,f54fd311f6fd8cd1b4affd14bdaf04ce,other
bertimbau,43310eef57e5f5f520cdb52f91b9876f,product
bertimbau,7c38b0697f3d800e6314b76b382a9f7e,delivery
bertimbau,13af9d6501d608374c69d002c6b37ce1,delivery
bertimbau,02303acbf32fcc6401f552eaef2bf19f,delivery
