x,y,cluster,sentiment,topic_proxy,review_id,model_key,dataset_key
-0.007202912,-0.11001319,4,positive,delivery,06aa3111724159bb69b8568181ec05c4,bertimbau,olist
0.030025043,0.26322934,6,negative,product,3db041dd46e9935752c691a2093799c2,bertimbau,olist
-0.07826275,-0.24315089,4,positive,delivery,9ad64902b6c9bfad48bbe4d17e4dcb4b,bertimbau,olist
-0.3885202,0.24900888,0,positive,other,6aba6ff5d6b3f6762a2ad9a9f1fbdfcf,bertimbau,olist
-0.068205744,-0.17698896,4,positive,delivery,8f9aa50ee40780ba3f79614530a34ebe,bertimbau,olist
0.41359377,0.037139893,1,negative,product,f3f77d01a24ce4da52b6f7e83e71498d,bertimbau,olist
-0.27363044,0.4390076,0,positive,other,2fe0ca8fe19ae1ab68408a1235bbd054,bertimbau,olist
0.27384388,-0.00622347,1,negative,product,b396ba75350276a6cc1993b6627dceea,bertimbau,olist
-0.26138115,0.1872237,5,positive,other,610a49f3e897c9295111d0a8c0d6e65b,bertimbau,olist
-0.1416869,0.30747116,6,negative,product,f3401a1de0c152923ba58cf7b7d2b84a,bertimbau,olist
-0.10944674,0.01130417,2,neutral,product,ef9ef383ff6625e8e118db388ad3420d,bertimbau,olist
0.14388868,-0.23133898,4,positive,delivery,5d6f9cddc8335878d8bf20c3bd4602e8,bertimbau,olist
0.124341644,0.037531585,6,neutral,product,f4d74b17cd63ee35efa82cd2567de911,bertimbau,olist
0.103842445,-0.29258984,4,positive,delivery,3a336941a21a96535c9b70e3d28be499,bertimbau,olist
-0.06946189,0.37261805,0,neutral,other,f677a419ee4910ae12bf8cb73dc0d332,bertimbau,olist
-0.24795806,-0.08491683,3,positive,delivery,2e21bb397364fa799a4a1609fd2e6e3b,bertimbau,olist
-0.23458618,-0.23792589,3,positive,delivery,670e12015ba4dca0bc1d220aaf5c19f9,bertimbau,olist
0.2681944,-0.030394226,1,negative,product,7cae6dc895e8f5238f2300e103742ce2,bertimbau,olist
0.0057624727,0.27231705,0,positive,other,5e5ae81fbed794a34c7b44744b168a5f,bertimbau,olist
0.23925549,0.2116557,6,negative,delivery,af41ee42a3e2dc767023449fda6c12fa,bertimbau,olist
0.20862597,0.106637314,6,positive,refund,d28138dcbee5d50ca9dddb812d21ce85,bertimbau,olist
-0.15207535,-0.12912175,3,positive,delivery,cc4e1115d5c84efa5976f12404569949,bertimbau,olist
0.0750478,-0.32937473,4,positive,delivery,07b48dbc11677f5021dbefcaba550ed2,bertimbau,olist
0.09971473,-0.15776765,4,negative,product,4f2d420b33665f546c373953c8dfb5fd,bertimbau,olist
0.016278662,-0.03569907,1,negative,product,bfd1c687738141ef5861a1a1269ca855,bertimbau,olist
0.23480794,0.28175154,6,negative,delivery,6724babb3b9952660bc345b5f5a4db07,bertimbau,olist
-0.21929178,0.019147158,2,neutral,product,c5efc0219f2949a8f81d5e8b39b9ca0c,bertimbau,olist
0.1628345,-0.16278028,1,positive,delivery,830cc72c5691e78c2cde500865e21e65,bertimbau,olist
-0.07530052,-0.2197842,4,positive,other,8a310b56e4d05a7786d23986a1a49ae9,bertimbau,olist
-0.1975899,-0.14593649,3,positive,product,d44b85fda6987ad606e1b7c62dd481e4,bertimbau,olist
0.036459796,0.085072756,1,neutral,product,5c1ba09de5c746017d406bd2cfefeca3,bertimbau,olist
0.16988507,0.057238236,6,positive,other,700135724fcdc3170960fd95b8fb5904,bertimbau,olist
0.03316825,0.4101249,0,negative,other,b54c1776f5955ced2f54c711c665a025,bertimbau,olist
-0.227097,-0.19518673,3,positive,delivery,264527c876f418e7b43e09f0079942e2,bertimbau,olist
-0.07882205,0.0740374,5,positive,other,d6c0b888949f0c3f236d67f588913930,bertimbau,olist
0.26456648,0.23755004,6,negative,refund,f4d2c6ed9bebda9d41573e30f3d629b5,bertimbau,olist
-0.08134964,-0.20390749,5,positive,product,91283389ca8846dd242990c799a85f5e,bertimbau,olist
-0.06779737,0.2671035,0,positive,other,5159ec80ded330546c2f4a3d23c911d2,bertimbau,olist
0.04769195,-0.063970834,1,positive,product,308400be88a43702db20fbb71b6cff74,bertimbau,olist
0.1601792,-0.14830548,4,positive,product,557d0e6fe3a03460bb041cd5b3f7427d,bertimbau,olist
0.07350754,-0.25502652,4,positive,delivery,513f392b12d02aef2c303846b4710eb6,bertimbau,olist
0.26579618,-0.04044646,1,negative,product,341ccd0a62b82793121e9ebdd1eafaf9,bertimbau,olist
-0.32501388,-0.14929304,3,positive,delivery,396ca63a1ddba5ae532c35316166b90f,bertimbau,olist
-0.2675867,0.047724977,5,positive,other,6d1e743b69d68d1864f8cb45e74be0d2,bertimbau,olist
-0.016864263,0.2560542,6,neutral,other,0272d07f5d34a8c3d31272e7ff967e7b,bertimbau,olist
0.2977361,0.18704508,6,negative,refund,320ae91d4c5cb8164c168fc68392a5fb,bertimbau,olist
-0.18799669,-0.081091136,5,positive,product,80d8874af03512892908e3910ca8ed00,bertimbau,olist
0.06454339,-0.07246259,4,positive,product,6d7d0a5e33c92adf782b137720eeefa6,bertimbau,olist
-0.31659898,0.35106736,0,positive,other,5f8ed42b9eee8adbd7344caca4ca507e,bertimbau,olist
0.07231683,0.10438056,5,positive,other,e5a35475f7efa7f6abac5febba3fb464,bertimbau,olist
0.22140929,-0.006321311,1,negative,delivery,b92b5b1122f1298b87bc7882115db417,bertimbau,olist
0.22601643,0.1885814,6,neutral,other,f922b9d00a755863556181c1a366193d,bertimbau,olist
-0.016996961,0.021119714,6,positive,delivery,49f6f0bbf53f6d961deefc4d2fb0a6cd,bertimbau,olist
0.32636058,-0.053801328,1,neutral,delivery,7c43af1205ff01c2b95065b2b02b3343,bertimbau,olist
0.09182622,-0.30108654,4,positive,product,6b15d200f47b4e13b03d237fd0b1894e,bertimbau,olist
-0.38918597,0.021846056,2,positive,support,c25f2dc8ab33facf7a72f76c8a47d75a,bertimbau,olist
0.08208997,0.25890547,6,negative,other,f8499130452fd0f108a9a24454f51c32,bertimbau,olist
-0.0116885975,0.28501293,6,positive,other,72093b147d797e6abbdf569bf07bf57f,bertimbau,olist
-0.09353337,-0.23306602,4,positive,delivery,4292f07bf6cb46aa563a430e6d9cf10b,bertimbau,olist
0.11925825,-0.1999205,4,positive,delivery,1545c0d2c381662ba869e91e4c1aaca1,bertimbau,olist
0.13558051,-0.30317283,4,positive,product,032cfb72d792d30b6181b482d85f8d1a,bertimbau,olist
-0.31757292,-0.1627407,3,positive,delivery,67c79a3a4b7d8e4fc8590fb8ca4d3f8a,bertimbau,olist
0.060241647,-0.25953764,4,positive,delivery,5fdcb2a2c4de7fbbf5715788535f4a96,bertimbau,olist
0.12836629,-0.0059762,1,negative,product,8eaebf463e205cdcc126801ca343a33f,bertimbau,olist
0.0931141,-0.25044268,4,positive,delivery,90febfe6ab599694729eaba46be1d3ad,bertimbau,olist
0.0757759,0.34211493,6,negative,other,5fd2d6fbe0e63511703a80078e938be5,bertimbau,olist
0.35727227,0.0047780275,1,negative,product,ed2842d0aa7ac6285c7547d17f17da4d,bertimbau,olist
-0.20803604,0.09987387,3,negative,product,9a8d24623d56c13f950247baa73f4c80,bertimbau,olist
0.14460498,0.029753894,1,neutral,other,4b4f1f1ad3fcac5ed98109ed67b1d072,bertimbau,olist
